,angle
7560,-1.8863484859466555
8488,-0.5521898865699768
4293,-0.0273443292826414
6151,-0.1122714728116989
1486,-0.0012907382333651
2853,-2.278892993927002
9065,-0.1623400747776031
8526,2.818878173828125
7713,2.2094693183898926
3102,0.1155086159706115
9131,-0.0848092585802078
174,-2.2443814277648926
1033,-0.0605220086872577
3843,-1.4067399501800537
5059,-2.5223639011383057
4918,-0.075417548418045
1983,-1.778886795043945
3356,-2.0798182487487797
8869,0.6017533540725708
1472,-2.496577262878418
5541,1.1248159408569336
5085,-2.1748206615448
402,-0.0589689649641513
6478,2.291532516479492
5479,-1.9246972799301147
8646,2.1551644802093506
3036,2.753995418548584
5172,-0.0292471516877412
6538,0.0742016360163688
8255,-2.651087045669556
7901,1.207401990890503
658,0.0144197847694158
5624,-2.568236351013184
5159,-0.7989676594734192
1590,-0.0267086960375309
1207,-2.4227373600006104
5052,-2.2827627658843994
5516,-1.4216148853302002
71,-3.0277132987976074
9095,-0.0067034112289547
3452,-0.4258941113948822
467,-0.0350558273494243
7731,-0.1540759354829788
5694,-1.7075380086898804
1632,-2.524374723434448
3222,0.1508262455463409
5595,-1.9619632959365845
4191,-0.0695154443383216
3478,-2.29859471321106
7884,-0.1309664696455001
1389,3.0056285858154297
3094,0.1155086159706115
5094,-1.9944000244140625
5405,3.02808165550232
52,0.6884291768074036
3615,-1.3322499990463257
8930,-1.670596480369568
1491,-0.6730906963348389
8569,2.042689561843872
4438,2.431368112564087
8604,3.1248600482940674
7891,2.6205825805664062
4891,-2.99149751663208
5711,-0.0094340937212109
9030,2.1836581230163574
4440,2.9118618965148926
1018,-2.046809673309326
4310,3.044235944747925
1547,-0.0470046028494834
5349,-0.6217322945594788
271,-1.5800750255584717
7725,-0.1540759354829788
6515,2.407586097717285
3519,2.3363969326019287
1133,-0.0511942617595195
1639,2.3878250122070312
4780,0.2226653099060058
2923,-2.4313478469848637
2648,0.9034605026245116
1254,1.378995060920715
3968,3.058988571166992
4336,-0.954343557357788
3425,3.1397459506988525
1106,0.0229817200452089
8055,2.5718328952789307
9159,-0.0966897904872894
8206,-0.3064850866794586
9120,0.8265185952186584
9089,-0.0067034112289547
1368,-1.120625138282776
9238,2.2676188945770264
3874,-0.4130663573741913
7006,2.272496461868286
6677,-2.286917924880981
2244,-0.1693228632211685
3760,-1.6082074642181396
7286,0.2951106131076813
3425,3.1397459506988525
8843,0.0392058677971363
4676,-0.1396024823188781
7360,-0.2894640266895294
4871,-2.7710297107696533
775,-0.1007009074091911
5409,3.1083133220672607
8455,-0.0788106098771095
8354,-0.0378036983311176
2180,-2.2374367713928223
8310,1.3094483613967896
2302,-0.0415285043418407
114,3.0891902446746826
8924,-1.9456610679626465
8857,-0.8122128844261169
3561,-1.3322499990463257
4343,-0.0007957779453136
5121,-2.0574398040771484
8461,-0.0788106098771095
4212,2.405911445617676
9254,-0.9173949360847472
8603,-2.941222906112671
7846,-0.1309664696455001
7937,-0.842215359210968
9214,-2.559981346130371
1439,0.0356117114424705
245,-0.8057743310928345
7794,-0.1540759354829788
6172,1.2031629085540771
7794,-0.1540759354829788
4162,0.1831801384687423
928,-0.0683670192956924
5120,-1.2546344995498655
3912,-0.0520041584968566
2412,-0.0415285043418407
6288,-0.0376418232917785
381,-0.181176483631134
4373,-0.0672537237405777
5019,-0.8847087621688843
7486,-1.9250625371932983
6212,-1.7839863300323486
7486,-1.9250625371932983
1568,-2.262230634689331
7213,-0.3190578818321228
4454,2.30122184753418
2986,-2.997067451477051
2848,-1.8304073810577397
4456,2.277153253555298
4742,0.9488618969917296
